课程名,课程编号,课序号,学分,任课教师,上课地点,上课日期,上课时间,课程介绍,起始周,结束周,开课院系
算法设计及其复杂性分析,$04100012$,90,2,雍俊海,???,Tuesday,$2-3$,test,1,8,软件学院
大数据技术导论,$04100041$,90,1,王建民,???,Thursday,$4-6$,test,1,8,软件学院
互联网科技创新及其工业应用,$14100012$,90,2,李振华,???,Monday,$1-6$,test,1,16,软件学院
创意软件,$14100042$,90,2,刘璘,???,Tuesday,$2-6$,test,1,16,软件学院
离散数学(1),$24100023$,0,3,刘世霞,???,Friday,$5-2$,test,1,16,软件学院
程序设计基础,$34100063$,0,3,刘玉身,???,Tuesday,$2-2$,test,1,16,软件学院
程序设计基础,$34100063$,1,3,王继良,???,Tuesday,$2-2$,test,1,16,软件学院
数据结构,$34100373$,0,3,丁贵广,???,Wednesday,$3-2$,test,1,16,软件学院
综合论文训练,$44100010$,0,15,王朝坤,???,Sunday,$7-6$,test,1,16,软件学院
计算机网络,$44100113$,0,3,杨铮,???,Wednesday,$3-2$,test,1,16,软件学院
软件工程,$44100203$,0,3,刘璘,???,Thursday,$4-2$,test,1,16,软件学院
专业课程实践,$44100502$,0,2,王朝坤,???,Tuesday,$2-1$,test,1,16,软件学院
大数据系统软件,$44100512$,0,2,宋韶旭,???,Tuesday,$2-4$,test,1,16,软件学院
物联网导论,$44100532$,0,2,王继良,???,Wednesday,$3-4$,test,1,16,软件学院
机器学习,$44100552$,0,2,龙明盛,???,Monday,$1-4$,test,1,16,软件学院
计算机组成原理,$44100573$,0,3,杨铮,???,Monday,$1-2$,test,1,16,软件学院
汇编与编译原理,$44100593$,0,3,王朝坤,???,Tuesday,$2-2$,test,1,16,软件学院
计算机动画的算法与技术,$44100642$,0,2,徐枫,???,Tuesday,$2-2$,test,9,16,软件学院
计算机图形学基础,$44100652$,0,2,张慧,???,Tuesday,$2-2$,test,1,8,软件学院
模型驱动的软件开发,$44100662$,0,2,姜宇,???,Tuesday,$2-3$,test,1,16,软件学院
大数据系统基础（B）,$64100033$,200,3,王智,???,Tuesday,$2-6$,test,1,16,软件学院
大规模多媒体信息管理与检索,$74100202$,0,2,丁贵广,???,Wednesday,$3-6$,test,1,16,软件学院
服务系统构建与应用,$74108012$,0,2,刘璘,???,Sunday,$7-6$,test,1,16,软件学院
软件需求工程,$84100102$,0,2,刘璘,???,Wednesday,$3-6$,test,1,16,软件学院
应用密码学,$84100182$,0,2,赵曦滨,???,Monday,$1-6$,test,1,16,软件学院
软件形式化验证,$84100192$,0,2,贺飞,???,Monday,$1-3$,test,1,16,软件学院
数据质量,$84100212$,0,2,李振华,???,Tuesday,$2-6$,test,1,16,软件学院
网络测量与分析技术,$84100232$,0,2,何源,???,Wednesday,$3-1$,test,1,8,软件学院
数字几何处理,$84100272$,0,2,刘玉身,???,Tuesday,$2-5$,test,1,16,软件学院
嵌入式系统建模与分析技术,$84100282$,0,2,贺飞,???,Monday,$1-2$,test,1,16,软件学院
领域特定语言设计,$84100293$,0,3,姜宇,???,Tuesday,$2-6$,test,1,16,软件学院
嵌入式系统体系结构,$84100332$,0,2,邓仰东,???,Tuesday,$2-3$,test,1,16,软件学院
深度学习,$84100343$,0,3,龙明盛,???,Tuesday,$2-2$,test,1,16,软件学院
软件工程管理最佳实践,$84100351$,0,1,顾明,???,Sunday,$7-6$,test,1,16,软件学院
数智安全与标准化,$84100362$,0,2,金涛,???,Tuesday,$2-6$,test,1,16,软件学院
云计算与新商业模式,$84108011$,0,1,王建民,???,Sunday,$7-6$,test,1,16,软件学院
信息管理概论,$84108042$,0,2,叶晓俊,???,Sunday,$7-6$,test,1,16,软件学院
软件工程前沿技术,$84108052$,0,2,顾明,???,Sunday,$7-6$,test,1,16,软件学院